코드,자격증명
2032400,인쇄기사
2032500,인쇄산업기사
2032600,인장공예기능사
2032700,일반기계기사
2032800,일반판금기능사
2032900,일식조리기능사
2033000,임산가공기사
2033100,임산가공기술사
2033200,임산가공산업기사
2033300,임업종묘기능사
2033400,임업종묘기사
2033500,임업종묘산업기사
2033700,자기비파괴검사기능사
2033800,자기비파괴검사기사
2033900,자기비파괴검사산업기사
2034000,자동차검사기능사
2034100,자동차검사기사
2034200,자동차검사산업기사
2034300,자동차정비기능사
2034400,자동차정비기능장
2034500,자동차정비기사
2034600,자동차정비산업기사
2034700,자동차차체수리기능사
2034800,자수기능사
2034900,자수산업기사
2035000,잠수기능사
2035100,잠수산업기사
2035200,전기공사기능사
2035300,전기공사기능장
2035400,전기공사기사
2035500,전기공사산업기사
2035600,전기기기기능사
2035700,전기기기기능장
2035800,전기기기산업기사
2035900,전기기사
2036000,전기도금기능사
2036100,전기산업기사
2036200,전기안전기술사
2036300,전기용접기능사
2036400,전기응용기술사
2036500,전기철도기능사
2036600,전기철도기사
2036700,전기철도기술사
2036800,전산응용가공산업기사
2036900,전산응용건축제도기능사
2037000,전산응용기계제도기능사
2037100,전산응용조선제도기능사
2037200,전자계산기기능사
2037300,전자계산기기사
2037400,전자계산기기술사
2037500,전자계산기제어산업기사
2037600,전자계산기조직응용기사
2037700,전자계산기조직응용산업기사
2037800,전자계산조직응용기술사
2037900,전자기기기능사
2038000,전자기기기능장
2038100,전자기사
2038200,전자산업기사
2038300,전자응용기술사
2038400,전자조판기능사
2038500,전파전자기능사
2038600,전파전자기사
2038700,전파전자산업기사
2038800,전파통신기능사
2038900,전파통신기사
2039000,전파통신산업기사
2039100,정밀측정기능사
2039200,정밀측정기사
2039300,정밀측정산업기사
2039400,정보관리기술사
2039500,정보기기운용기능사
2039600,정보기술산업기사
2039700,정보처리기능사
2039800,정보처리기사
2039900,정보처리산업기사
2040000,정보통신기사
2040100,정보통신기술사
2040200,정보통신산업기사
2040300,정보통신설비기사
2040400,제강기능사
2040500,제강기능장
2040600,제과기능사
2040700,제과기능장
2040800,제관기능사
2040900,제관산업기사
2041000,제빵기능사
2041100,제선기능사
2041200,제선기능장
2041300,제판기사
2041400,제포기술사
2041500,제품디자인기사
2041600,제품디자인기술사
2041700,제품디자인산업기사
2041800,조경기능사
2041900,조경기사
2042000,조경기술사
2042100,조경산업기사
2042200,조리기능장
2042300,조리산업기사
2042400,조선기사
2042500,조선산업기사
2042600,조적기능사
2042700,조적산업기사
2042800,조주기능사
2042900,조화공예기능사
2043000,종자기능사
2043100,종자기사
2043200,종자기술사
2043300,종자산업기사
2043400,주조기능사
2043500,주조기능장
2043600,주조산업기사
2043700,준설선운전기능사
2043800,중식조리기능사
2043900,지게차운전기능사
2044000,지구물리기술사
2044100,지도제작기능사
2044200,지적기능사
2044300,지적기능산업기사
2044400,지적기사
2044500,지적기술사
2044600,지적산업기사
2044700,지하수기사
2044800,지하수산업기사
2044900,지하자원개발기술사
2045000,지하자원처리기술사
2045100,직기조정기능사
2045200,직물가공기능사
2045300,차량기술사
2045400,채소재배기능사
2045500,천정기중기운전기능사
2045600,철골구조물기능사
2045700,철근기능사
2045800,철도기술사
2045900,철도동력차기관정비기능사
2046000,철도동력차기관정비산업기사
2046100,철도동력차전기정비기능사
2046200,철도동력차전기정비산업기사
2046300,철도보선기사
2046400,철도보선산업기사
2046500,철도신호기능사
2046600,철도신호기사
2046700,철도신호기술사
2046800,철도신호산업기사
2046900,철도차량기사
2047000,철도차량기술사
2047100,철도차량산업기사
2047200,철도차량정비기능장
2047300,철야금기술사
2047400,초음파비파괴검사기능사
2047500,초음파비파괴검사기사
2047600,초음파비파괴검사산업기사
2047700,축로기능사
2047800,축산기능사
2047900,축산기사
2048000,축산기술사
2048100,축산산업기사
2048200,축산식품가공기능사
2048300,축소사진기능사
2048400,측량기능사
2048500,측량및지형공간정보기사
2048600,측량및지형공간정보기술사
2048700,측량및지형공간정보산업기사
2048800,치공구설계기사
2048900,치공구설계산업기사
2049000,칠기기능사
2049100,침투비파괴검사기능사
2049200,침투비파괴검사기사
2049300,침투비파괴검사산업기사
2049400,카일렉트로닉스기능사
2049500,컴퓨터그래픽스운용기능사
2049600,콘크리트기능사
2049700,타일기능사
2049800,타출판금기능사
2049900,탐사기술사
2050000,토목구조기술사
2050100,토목기사
2050200,토목산업기사
2050300,토목시공기술사
2050400,토목제도기능사
2050500,토목품질시험기술사
2050600,토질및기초기술사
2050700,통신기기기능사
2050800,통신선로기능사
2050900,통신선로산업기사
2051000,통신설비기능장
2051100,특수도금기능사
2051200,판금산업기사
2051300,판금제관기능장
2051400,패세공기능사
2051500,패션디자인산업기사
2051600,펄프제지기능사
2051700,편물기능사
2051800,편물산업기사
2051900,평판인쇄기능사
2052000,폐기물처리기사
2052100,폐기물처리기술사
2052200,폐기물처리산업기사
2052300,포장기능사
2052400,포장기사
2052500,포장기술사
2052600,포장산업기사
2052700,표구기능사
2052800,표면처리기능장
2052900,표면처리기술사
2053000,표면처리산업기사
2053100,품질관리기사
2053200,품질관리기술사
2053300,품질관리산업기사
2053400,프레스금형기능사
2053500,프레스금형산업기사
2053600,프레스금형설계기사
2053700,플라스틱성형가공기능사
2053800,미용사(피부)
2053900,피아노조율기능사
2054000,피아노조율산업기사
2054100,한복기능사
2054200,한복산업기사
2054300,한식조리기능사
2054400,항공기관기술사
2054500,항공기관정비기능사
2054600,항공기사
2054700,항공기체기술사
2054800,항공기체정비기능사
2054900,항공사진기능사
2055000,항공산업기사
2055100,항공장비정비기능사
2055200,항공전자정비기능사
2055300,항공정비기능장
2055400,항공조종사
2055500,항로표지기능사
2055600,항로표지기사
2055700,항로표지산업기사
2055800,항만및해안기술사
2055900,해양공학기사
2056000,해양기술사
2056100,해양생산관리기사
2056200,해양자원개발기사
2056300,해양조사산업기사
2056400,해양환경기사
2056500,핵연료기술사
2056600,화공기사
2056700,화공안전기술사
2056800,화약류관리기사
2056900,화약류관리기술사
2057000,화약류관리산업기사
2057100,화약류제조기사
2057200,화약류제조산업기사
2057300,화약취급기능사
2057400,화학공장설계기술사
2057500,화학분석기능사
2057600,화학장치설비기술사
2057700,화훼재배기능사
2057800,환경기능사
2057900,정형외과전문의
2058000,정보기기기능사
2058100,정보통신응용기능사
2058200,전기소방기사
2058300,정보기능사
2058400,자동차기능사
2058500,정보통신기능사
2058600,정보처리운용기능사
2058700,전자출판기능사
2058800,정비기사
2058900,광해방지기사
2059000,고압가스냉동기능사
2059100,기계조립기능사
2059200,굴삭기운전기능사
2059300,건축기계설비기사
2059400,건축소방설비기사
2059500,웹디자인기능사
2059600,인터넷정보기사
2059700,위험물기능사
2059800,안전기사
2059900,컬러리스트기사
2060000,컴퓨터응용기능사
2060100,컬러리스트산업기사
2060200,컴퓨터활용기사
2060300,컴퓨터그래픽기능사
2060400,회계사
2060500,화훼장식기능사
2060600,배관기사
2060700,보일러기능사
2060800,반도체설계기사
2060900,사회조사분석사
2061000,식품가공기능사
2061100,소방설비기사(전기분야)
2061200,소방설비기사(기계분야)
2061300,품질경영기사
2061400,품질경영산업기사
2061500,대기기사
2061600,동물분류기사
2061700,로더운전기능사
2061900,요리기능사
2062000,원예기능사
2062100,냉동공조기계기능사
2062200,날염기능사
2062300,농수산물식품가공기능사
2062400,냉동기계기사
2062500,내선공사기능사보
2062600,노무사
2062700,토양환경기사
2062800,인터넷정보기능사
2062900,LTV수리기사
2063000,열관리기능사
2063100,정보통신운영기사
2063200,전자기능사
2063300,조리기능사
2063400,정보통신운용기능사
2063500,정보검색기능사
2063600,정보처리기술사
2063700,전기기능사
2063800,자연생태복원기사
2063900,전자기계기사
2064000,재료기사
2064100,정보운영기능사
2064200,산업정보기사
2064300,수질기사
2064400,식물분류기사
2064500,CNC밀링기능사
2064600,산업환경기사
2064700,CNC수치제어선반기능사
2064800,게임그래픽산업기사
2064900,건설기사
2065000,건축설계기능사
2065100,그래픽기사
2065200,기술사
2065300,기계기사
2065400,공조냉동기사
2065500,기계설계제도기능사
2065600,의약정보사무기사
2065700,인간공학기사
2065800,의공기사
2065900,특수트레일러
2066000,토목기술사
2066100,MOS기능사
2066200,무선통신설비기능사
2066300,무선기사
2066400,밀링연삭기능사
2066500,유선선로기능사
2066600,운용기기기능사(컴퓨터)
2066700,산업디자인기사
2066800,산림기사
2066900,실험동물기사
2067000,생산자동화기능사
2067100,컴퓨터기능사
2067200,동력차기관정비산업기사
2067300,디지털제어산업기사
2067400,일식산업기사
2067500,철도운송산업기사
2067600,측지기사
2067800,자동차진단평가기사
2067900,자동기기운용기능사
2068000,정보통신운영기능사
2068100,공유압기능사
2068200,방화안전기사
2068300,환경기사
2068500,패션머천다이징산업기사
2068600,특수용접기능사
2068700,건축조작기능사
2068800,그래픽운용기능사
2068900,공예기능사
2069000,소방전기기사
2069100,소방기술사
2069200,소방기사
2069300,CNC선반기능사
2069400,소방산업기사
2069500,소방안전기능사
2069600,수질산업기사
2069700,통신설비기능사
2069800,측량기사
2069900,측지산업기사
2070000,초음파기능사
2070100,부동산중개업
2070200,분석기사
2070300,배관기능사
2070400,자연생태보건기사
2070500,방송통신기사
2070600,전자계산기운용기사
2070700,중장비기사
2070800,자동차기사
2070900,정보기사
2071000,정비기능사
2071100,정보통신기기기능사
2071200,네트워크운영기능사
2071300,회계정보처리기사
2071400,건축전기기술사
2071500,기능장
2071600,건축설계제도기능사
2071700,금속재료기사
2071800,경비지도사
2071900,기능사
2072000,그래픽응용기능사
2072100,그래픽디자인기능사
2072200,계량기사
2072300,캐드기능사
2072400,전자정보통신기사
2072500,지형정보기사
2072600,정보운용기능사
2072700,전기통신기사
2072800,재료시험기능사
2072900,폐기물환경산업기사
2073000,용접기능사
2073100,안전기능사
2073200,안전관리기사
2073300,의장산업기사
2073400,밀링기능사
2073500,생물분류기사
2073600,승강기보수기능사
2073700,선로설비기능사
2073800,생태보건산업기사
2073900,토양기사
2074000,특수차량면허
2074100,임상심리사
2074200,정보처리환경기사
2074300,자동차전기기능사
2074400,"전기,기계기능사"
2074500,전기기사기능사
2074600,전산운용기계기능사
2074700,정보통신기기운영기능사
2074800,제도기능사
2074900,자동차산업기사
2075000,대기산업기사
2075100,컴퓨터그래픽스운영기능사
2075200,콘크리트산업기사
2075300,컴퓨터조립기사
2075400,캐드산업기사
2075500,컴퓨터응용설계기능사
2075600,금형산업기사
2075700,그래픽기능사
2075800,건축배관기사
2075900,기계설계기사
2076000,교환설비기능사
2076100,건축기계기사
2076200,건축기계설비산업기사
2076300,그린인테리어기사
2076400,고압가스기능사
2076500,건설재료기능사
2076600,한식산업기사
2076700,환경생태복원기사
2076800,화훼기사
2076900,화훼장식기사
2077000,해기사
2077100,화학공학기사
2077200,환경산업기사
2077300,화학분석기사
2077400,"라디오,TV기능사"
2077500,냉동기사
2077600,냉동공조산업기사
2077700,농림토양분석평가기사
2077800,냉동및공기정화기사
2077900,농기계기능사
2078000,품질보증산업기사
2078100,폐기물환경기사
2078200,패션산업기사
2078300,피부미용
2078400,표면처리기능사
2078500,유선통신기능사
2078600,의료기사
2078700,위험물취급관리
2078800,양식기사
2078900,양장기능사보
2079000,전화교환기능사
2079100,정보산업기사
2079200,전산응용토목제도기능사
2079300,무선통신기능사
2079400,무선통신기사
2079500,무선통신산업기사
2079600,선반보기능사
2079700,산업안전관리기사
2079800,수질기술사
2079900,회로설계기사
2080000,산업디자인기능사
2080100,건축예비기술사
2080200,고압가스안전기사
2080300,금속재료기능사
2080400,건설안전기능사
2080500,기계가공산업기사
2080600,건축기능사
2080700,공조냉동산업기사
2080800,고압가스산업기사
2080900,고압가스기능장
2081000,머시닝기능사
2081100,디자인운용기능사
2081200,도장기능사
2081300,위험물관리기사
2081400,유기농기능사
2081500,위험물기사
2081600,정보기기운영기능사
2081700,자동차기술사
