전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
경영/경제,22,2,600,4,1,2,,2,,2,,6,,2,2,1,2,400,2,2,,,,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,6,1,4,3,3.7,4
경영/경제,26,2,160,3,2,2,,2,,2,,2,,2,2,2,2,,1,2,,,,2,,,,5,5,5,5,5,5,5,5,4,5,5,7,1,4,4,3,4,3,3.6,4
경영/경제,27,1,97,2,2,2,,2,,2,,2,4,2,1,1,2,390,2,1,4172100,,,2,,,,5,5,3,4,4,4,5,4,4,4,4,4,1,4,4,1,4,3,4.2,2
경영/경제,22,1,15,4,1,2,,2,,2,,1,,2,2,2,2,,1,2,,,,2,,,,5,5,3,5,5,5,5,5,3,4,3,8,2,1,6,1,4,3,3.5,3
경영/경제,21,2,160,3,4,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,5,4,3,3,5,5,5,5,5,5,5,7,2,3,6,1,4,3,3,4
경영/경제,22,2,100,4,3,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,7,2,4,5,1,4,3,3.6,3
경영/경제,24,2,300,4,4,1,,2,,2,,2,4,2,2,1,2,,1,1,2019400,,,2,,,,5,5,5,5,4,2,5,4,1,4,3,6,2,3,6,5,4,3,3.7,4
경영/경제,26,1,-1,3,2,2,,2,,2,,2,,2,2,2,2,,2,1,3003900,3007600,,2,,,,4,5,3,4,4,4,4,4,3,3,3,7,1,3,6,1,5,3,4,5
경영/경제,46,2,200,3,3,2,,2,,2,,2,,2,1,2,2,,2,1,2114500,1010901,4111804,1,2,2,2,4,4,4,4,4,4,4,3,3,3,3,6,2,4,6,3,5,3,4.4,4
경영/경제,49,2,170,3,1,1,,2,,2,,1,,2,2,2,2,,1,1,2054300,1010901,,1,2,2,1,5,5,3,2,4,5,5,5,3,3,4,7,2,1,6,3,5,2,4.1,3
경영/경제,25,2,250,4,2,2,,2,,2,,2,6,2,2,1,2,,2,2,,,,2,,,,5,5,3,4,4,4,4,4,4,4,1,7,1,4,7,3,5,3,3.6,5
관광,21,2,160,3,2,1,,2,,2,,1,,2,2,2,2,,2,1,4070500,,,2,,,,3,3,3,4,4,5,5,5,3,5,5,9,2,2,4,3,1,3,2.6,4
관광,22,,,,,,1,2,,2,,1,,2,2,2,2,700,1,2,,,,1,2,2,1,3,5,1,5,4,5,5,5,3,2,4,3,2,4,6,3,2,3,3.8,5
관광,25,,,,,,,2,,2,,2,6,2,2,1,2,,1,2,,,,2,,,,4,5,3,5,4,3,5,5,3,3,3,6,1,3,5,3,2,2,3.9,4
관광,50,1,100,1,5,1,,2,,2,,1,,2,1,2,2,,2,1,4111000,2054300,,2,,,,4,5,5,4,4,4,4,4,2,4,3,7,2,1,6,3,2,2,4,3
관광,24,2,250,3,1,2,,2,,2,,2,4,2,2,2,1,,2,1,4111000,,,2,,,,5,5,2,5,5,5,5,5,5,5,2,6,2,1,6,4,2,3,4.3,5
관광,23,1,150,5,5,1,,2,,2,,1,,2,2,2,2,,1,1,5006100,,,2,,,,2,5,5,5,5,5,5,5,5,5,5,7,1,4,5,3,3,3,3.6,5
관광,21,,,,,,,2,,2,,1,,1,2,2,2,,2,2,,,,2,,,,4,4,2,4,4,5,5,4,1,4,2,5,2,1,6,1,3,3,3.8,2
관광,24,2,230,3,4,2,,2,,2,,2,4,2,2,1,2,,1,1,2054800,4111000,,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,6,1,1,5,1,3,3,3.8,3
관광,22,2,216,3,4,2,,2,,2,,1,,2,2,2,2,,1,2,,,,1,2,2,1,4,4,3,4,5,4,4,4,3,4,3,9,2,3,5,4,4,3,4.3,4
관광,48,2,157,3,3,1,,2,,2,,1,,2,1,2,2,,2,1,1000400,,,2,,,,3,5,5,4,4,4,4,4,4,4,4,5,2,1,6,1,4,3,4,4
관광,24,2,300,5,5,1,,2,,2,,1,,2,2,2,2,,2,1,4125900,1000400,,2,,,,4,5,4,4,5,4,4,4,4,4,4,8,2,4,6,3,4,3,3.8,5
관광,23,2,200,4,3,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,4,5,3,4,4,3,3,4,3,4,3,7,2,4,4,1,4,3,4.3,2
관광,41,2,550,4,1,2,,2,,2,,8,,2,2,2,2,,2,1,1018300,2094200,,2,,,,5,5,3,4,5,5,5,5,4,4,4,6,1,5,6,3,5,3,4.5,3
관광,54,,,,,,,2,,2,,1,,2,1,2,2,,1,1,2054300,2027100,2043800,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,2,2,6,1,5,2,4.3,3
관광,22,,,,,,,2,,2,,1,,2,2,2,2,,2,1,4111000,,,1,2,2,2,3,4,4,4,4,3,4,4,3,4,4,8,2,1,4,1,5,3,3.6,5
금융/회계/세무,22,2,160,3,3,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,4,4,4,5,5,5,5,5,4,4,4,8,2,3,5,4,2,3,3.7,4
금융/회계/세무,22,2,180,3,4,1,,2,,2,,1,,2,2,1,2,,2,1,3003700,,,2,,,,5,4,5,4,5,5,5,5,4,5,5,7,2,4,6,1,2,3,3.3,5
금융/회계/세무,22,2,175,2,1,2,,2,,2,,1,,2,2,1,2,300,2,1,3003700,,,1,2,2,1,5,4,2,5,5,5,5,5,3,4,3,6,2,4,6,1,2,3,3.2,5
금융/회계/세무,24,2,160,1,1,1,,2,,2,,1,2,2,2,1,2,740,2,1,4111804,2114500,4149200,2,,,,4,4,3,4,5,5,4,4,3,4,3,8,2,4,5,1,2,3,3.2,3
금융/회계/세무,21,2,190,3,3,1,,2,,2,,1,,2,2,1,2,550,2,1,2114500,4079900,4111804,1,1,2,2,5,2,2,4,3,4,5,4,3,5,3,6,2,3,4,1,2,3,3.8,3
금융/회계/세무,23,,,,,,,2,,2,,1,,2,2,1,2,860,1,1,2114500,4180500,3003900,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,6,2,3,6,1,2,3,3.8,4
금융/회계/세무,27,2,208,1,3,2,,2,,2,,1,2,2,2,1,2,,2,2,,,,2,,,,5,4,4,3,3,3,4,4,3,4,3,7,2,3,4,3,2,3,2.2,3
금융/회계/세무,26,,,,,,,2,,2,,2,6,2,2,2,2,,2,2,,,,2,,,,3,4,3,4,4,4,4,4,2,5,4,7,2,3,5,1,2,3,3.8,5
금융/회계/세무,25,1,64,3,2,2,,2,,2,,1,4,2,2,2,2,,1,2,,,,1,2,2,1,4,4,3,4,4,4,4,4,3,4,3,6,2,1,3,4,2,3,3.4,3
금융/회계/세무,22,2,160,3,4,2,,2,,2,,1,2,2,2,1,2,,1,1,3003900,2085100,4180500,2,,,,4,5,5,5,4,4,5,5,4,4,4,7,2,3,5,1,2,3,3.8,4
금융/회계/세무,22,2,205,4,5,2,,2,,2,,1,,2,2,1,2,,2,2,,,,2,,,,4,5,5,4,4,4,4,4,3,3,3,7,2,3,5,4,3,3,3.4,4
